Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol
TRY/JPY,18.74,0.0300000,0.0000,0.0000,0.01000,0.000084,0,20.000,1.00,0.000,TRY/JPY
USD/CAD,1.32798,0.000160000,0.0000,0.0000,0.00010,0.000068,0,20.000,1.00,0.000,USD/CAD
USD/CHF,0.991310,0.000190000,0.0000,0.0000,0.00010,0.000092,0,20.000,1.00,0.000,USD/CHF
USD/CNH,7.12297,0.00265000,0.0000,0.0000,0.00010,0.000013,0,20.000,1.00,0.000,USD/CNH
USD/CZK,23.47,0.0113700,0.0000,0.0000,0.00010,0.000004,0,20.000,1.00,0.000,USD/CZK
USD/DKK,6.77889,0.00188000,0.0000,0.0000,0.00010,0.000013,0,20.000,1.00,0.000,USD/DKK
USD/HKD,7.83832,0.000670000,0.0000,0.0000,0.00010,0.000012,0,20.000,1.00,0.000,USD/HKD
USD/HUF,302.93,0.234000,0.0000,0.0000,0.01000,0.000030,0,20.000,1.00,0.000,USD/HUF
USD/INR,71.17,0.250000,0.0000,0.0000,0.01000,0.000128,0,20.000,1.00,0.000,USD/INR
USD/JPY,107.60,0.0140000,0.0000,0.0000,0.01000,0.000084,0,20.000,1.00,0.000,USD/JPY
USD/MXN,19.46,0.00585000,0.0000,0.0000,0.00010,0.000005,0,20.000,1.00,0.000,USD/MXN
USD/NOK,9.07180,0.00378000,0.0000,0.0000,0.00010,0.000010,0,20.000,1.00,0.000,USD/NOK
USD/PLN,3.97230,0.00280000,0.0000,0.0000,0.00010,0.000023,0,20.000,1.00,0.000,USD/PLN
USD/SAR,3.75621,0.01000000,0.0000,0.0000,0.00010,0.000024,0,20.000,1.00,0.000,USD/SAR
USD/SEK,9.72062,0.00337000,0.0000,0.0000,0.00010,0.000009,0,20.000,1.00,0.000,USD/SEK
USD/SGD,1.37772,0.000260000,0.0000,0.0000,0.00010,0.000066,0,20.000,1.00,0.000,USD/SGD
USD/THB,30.53,0.120000,0.0000,0.0000,0.01000,0.000298,0,20.000,1.00,0.000,USD/THB
USD/TRY,5.74787,0.00738000,0.0000,0.0000,0.00010,0.000016,0,20.000,1.00,0.000,USD/TRY
USD/ZAR,14.94,0.0133600,0.0000,0.0000,0.00010,0.000006,0,20.000,1.00,0.000,USD/ZAR
ZAR/JPY,7.21200,0.0150000,0.0000,0.0000,0.01000,0.000084,0,20.000,1.00,0.000,ZAR/JPY
XAG/EUR,15.91,0.0180400,0.0000,0.0000,0.00010,0.000100,0,10.000,1.00,0.000,XAG/EUR
XAU/EUR,1363.39,0.460000,0.0000,0.0000,0.01000,0.010000,0,20.000,1.00,0.000,XAU/EUR
XPD/USD,1690.59,1.50000,0.0000,0.0000,0.01000,0.009136,0,10.000,1.00,0.000,XPD/USD
XPT/USD,934.55,1.50000,0.0000,0.0000,0.01000,0.009136,0,10.000,1.00,0.000,XPT/USD
XCU/USD,2.33500,0.00150000,0.0000,0.0000,0.00010,0.000092,0,10.000,1.00,0.000,XCU/USD
BCO/USD,59.89,0.0600000,0.0000,0.0000,0.01000,0.009146,0,10.000,1.00,0.000,BCO/USD
CORN/USD,3.84400,0.01000000,0.0000,0.0000,0.01000,0.009146,0,10.000,1.00,0.000,CORN/USD
NATGAS/USD,2.28400,0.0120000,0.0000,0.0000,0.01000,0.009146,0,10.000,1.00,0.000,NATGAS/USD
SOYBN/USD,9.09700,0.0200000,0.0000,0.0000,0.01000,0.009146,0,10.000,1.00,0.000,SOYBN/USD
SUGAR/USD,0.120630,0.000240000,0.0000,0.0000,0.00010,0.000092,0,10.000,1.00,0.000,SUGAR/USD
WHEAT/USD,4.94900,0.0130000,0.0000,0.0000,0.01000,0.009146,0,10.000,1.00,0.000,WHEAT/USD
WTICO/USD,53.77,0.0600000,0.0000,0.0000,0.01000,0.009146,0,10.000,1.00,0.000,WTICO/USD
DE10YB/EUR,174.52,0.0150000,0.0000,0.0000,0.01000,0.010000,0,5.000,1.00,0.000,DE10YB/EUR
UK10YB/GBP,134.05,0.0400000,0.0000,0.0000,0.01000,0.011213,0,5.000,1.00,0.000,UK10YB/GBP
USB02Y/USD,107.67,0.0140000,0.0000,0.0000,0.01000,0.009082,0,5.000,1.00,0.000,USB02Y/USD
USB05Y/USD,119.15,0.0180000,0.0000,0.0000,0.01000,0.009082,0,5.000,1.00,0.000,USB05Y/USD
USB10Y/USD,130.29,0.0260000,0.0000,0.0000,0.01000,0.009081,0,5.000,1.00,0.000,USB10Y/USD
USB30Y/USD,162.76,0.0410000,0.0000,0.0000,0.01000,0.009081,0,5.000,1.00,0.000,USB30Y/USD
AU200/AUD,6528.00,3.20000,0.0000,0.0000,1.00000,0.614349,0,20.000,1.00,0.000,AU200/AUD
CN50/USD,13683.40,12.50,0.0000,0.0000,1.00000,0.912509,0,10.000,1.00,0.000,CN50/USD
DE30/EUR,11975.00,1.000000,0.0000,0.0000,1.00000,1.000000,0,20.000,1.00,0.000,DE30/EUR
EU50/EUR,3436.30,1.50000,0.0000,0.0000,1.00000,1.000000,0,20.000,1.00,0.000,EU50/EUR
FR40/EUR,5466.90,1.20000,0.0000,0.0000,1.00000,1.000000,0,20.000,1.00,0.000,FR40/EUR
HK33/HKD,25675.90,6.00000,0.0000,0.0000,1.00000,0.116274,0,10.000,1.00,0.000,HK33/HKD
IN50/USD,11198.80,5.00000,0.0000,0.0000,1.00000,0.912184,0,10.000,1.00,0.000,IN50/USD
JP225/USD,21511.50,10.00,0.0000,0.0000,1.00000,0.912226,0,20.000,1.00,0.000,JP225/USD
NAS100/USD,7599.00,2.20000,0.0000,0.0000,1.00000,0.912209,0,20.000,1.00,0.000,NAS100/USD
NL25/EUR,562.70,0.270000,0.0000,0.0000,0.01000,0.010000,0,10.000,1.00,0.000,NL25/EUR
SG30/SGD,355.27,0.200000,0.0000,0.0000,0.10000,0.065991,0,10.000,1.00,0.000,SG30/SGD
SPX500/USD,2897.30,0.500000,0.0000,0.0000,1.00000,0.911286,0,20.000,1.00,0.000,SPX500/USD
TWIX/USD,408.30,0.500000,0.0000,0.0000,1.00000,0.910772,0,10.000,1.00,0.000,TWIX/USD
UK100/GBP,7159.50,1.000000,0.0000,0.0000,1.00000,1.114144,0,20.000,1.00,0.000,UK100/GBP
US2000/USD,1478.30,0.400000,0.0000,0.0000,0.01000,0.009110,0,10.000,1.00,0.000,US2000/USD
US30/USD,26216.40,3.80000,0.0000,0.0000,1.00000,0.911153,0,20.000,1.00,0.000,US30/USD
