Date,Open,High,Low,Close,Volume USDT
10/31/20,13560.1,13740,13411.5,13558.89,162037269.5
10/30/20,13455.7,13669.98,13115,13560.1,946818817.6
10/29/20,13266.4,13642.91,12920.77,13455.7,997867948.9
10/28/20,13636.17,13859.48,12888,13266.4,1263487953
10/27/20,13052.19,13789.29,13019.87,13636.17,1085403903
10/26/20,13028.83,13238.81,12765,13052.19,794395722.5
10/25/20,13111.73,13350,12888,13028.83,502672049.2
10/24/20,12923.07,13166.73,12870,13111.73,468299521.8
10/23/20,12968.52,13027.69,12720.08,12923.07,650680239.1
10/22/20,12780.96,13185,12678.08,12968.52,905778888.9
10/21/20,11909.99,13217.68,11886.95,12780.96,1437122187
10/20/20,11751.47,12038.38,11677.59,11909.99,737363649
10/19/20,11503.14,11823.99,11407.96,11751.47,550728683.8
10/18/20,11360.2,11505,11346.22,11503.14,266150824.4
10/17/20,11319.32,11402.42,11255,11360.2,253582776
10/16/20,11505.12,11541.15,11200,11319.32,553211001.6
10/15/20,11417.89,11617.34,11250.83,11505.12,556436445.6
10/14/20,11420.56,11547.98,11280,11417.89,472007015.7
10/13/20,11528.25,11557,11300,11420.56,482663390.7
10/12/20,11369.02,11720.01,11172,11528.25,604779845.8
10/11/20,11293.22,11445,11221,11369.02,329927755
10/10/20,11050.64,11491,11050.51,11293.22,494785212.2
10/9/20,10925.57,11104.64,10829,11050.64,530822321.5
10/8/20,10666.39,10950,10530.41,10925.57,559311760.4
10/7/20,10599.66,10681.87,10546.17,10666.39,348298562.9
10/6/20,10792.21,10800,10525,10599.66,520051256.1
10/5/20,10666.63,10798,10615.64,10792.21,364158510.2
10/4/20,10542.06,10696.87,10517.87,10666.63,246252050.9
10/3/20,10570.4,10603.56,10496.46,10542.06,235160884.6
10/2/20,10619.13,10664.64,10374,10570.4,526864379.3
10/1/20,10776.59,10920,10437,10619.13,652168989.5
9/30/20,10840.48,10849.34,10665.13,10776.59,425279696.3
9/29/20,10696.12,10867.54,10635.87,10840.48,449345822.5
9/28/20,10774.25,10950,10626,10696.12,544463219.6
9/27/20,10728.6,10799,10594.82,10774.25,327169249.5
9/26/20,10686.67,10820.94,10644.68,10728.6,304511477.7
9/25/20,10736.32,10760.53,10556.24,10686.67,512647249.2
9/24/20,10241.46,10795.24,10190.93,10736.32,604520870.1
9/23/20,10529.61,10537.15,10136.82,10241.46,539362015.2
9/22/20,10417.22,10572.71,10353,10529.61,460302252.1
9/21/20,10920.28,10988.86,10296.35,10417.22,751020795.2
9/20/20,11080.65,11080.65,10723,10920.28,426815210.8
9/19/20,10933.39,11179.79,10887.37,11080.65,423651901.2
9/18/20,10939.99,11038.03,10812.84,10933.39,516147935.7
9/17/20,10954.01,11045.46,10745.83,10939.99,605010288.8
9/16/20,10785.31,11093,10661.22,10954.01,708644989.5
9/15/20,10671.77,10930.04,10606.48,10785.31,666457161.2
9/14/20,10332.83,10750,10212.34,10671.77,706175591.4
9/13/20,10440.92,10580.11,10200,10332.83,455338605.3
9/12/20,10387.89,10477.97,10269.25,10440.92,366912671.4
9/11/20,10336.87,10397.6,10200,10387.89,451241002.7
9/10/20,10219.2,10483.35,10070.83,10336.87,602390078.5
9/9/20,10126.65,10343,9981.01,10219.2,503082625.2
9/8/20,10373.44,10438,9850,10126.65,742947562.2
9/7/20,10256.2,10410.75,9875,10373.44,634278537.8
9/6/20,10166.69,10347.14,9994.86,10256.2,574903000.2
9/5/20,10446.25,10565.68,9825,10166.69,917578408.9
9/4/20,10140.85,10627.05,9875.5,10446.25,959925718.4
9/3/20,11388.54,11462.6,9960.8,10140.85,1325106403
9/2/20,11921.97,11954.57,11160.1,11388.54,1005391012
9/1/20,11649.51,12050.85,11515,11921.97,928047313.5
8/31/20,11711.16,11800.77,11570,11649.51,646723855.6
8/30/20,11465.84,11719,11458,11711.16,501375342.9
8/29/20,11526.91,11580.02,11417.04,11465.84,379228275.3
8/28/20,11330.38,11542.65,11276.89,11526.91,525606229.7
8/27/20,11461.43,11592.2,11125,11330.38,717474981.7
8/26/20,11318.42,11539.32,11244,11461.43,615452790
8/25/20,11748.2,11767.85,11117.64,11318.42,797034671.6
8/24/20,11648.13,11824.9,11585.09,11748.2,542298951.5
8/23/20,11662.96,11718.07,11514.13,11648.13,440406018.7
8/22/20,11531.34,11686,11376.81,11662.96,504305451.4
8/21/20,11853.55,11878,11485.81,11531.34,755451999.7
8/20/20,11754.59,11888,11668,11853.55,543576025.1
8/19/20,11945.01,12020.08,11561,11754.59,870612801.5
8/18/20,12281.13,12387.77,11817.93,11945.01,920402307.2
8/17/20,11911,12468,11769.78,12281.13,1026883453
8/16/20,11852.4,11931.72,11686,11911,489731524.6
8/15/20,11760.54,11980,11680,11852.4,667446824.1
8/14/20,11780,11850,11634.03,11760.54,702273220.7
8/13/20,11564.33,11792.96,11270.36,11780,809611114.2
8/12/20,11392.08,11617.52,11150,11564.33,743303608.1
8/11/20,11892.92,11935,11125,11392.08,1049615697
8/10/20,11681.68,12067.35,11450,11892.92,1009169063
8/9/20,11761.41,11797.11,11521.97,11681.68,483708602.9
8/8/20,11594.23,11808.27,11512,11761.41,489087264.4
8/7/20,11762.46,11909.94,11322,11594.23,767005529.3
8/6/20,11744.91,11900,11562.5,11762.46,746479211.7
8/5/20,11191.97,11780.93,11093,11744.91,861433645.4
8/4/20,11219.81,11414.98,11000,11191.97,658084242.7
8/3/20,11071.35,11473,10936,11219.81,641127593.3
8/2/20,11801.17,12123.46,10518.5,11071.35,1105757336
8/1/20,11335.46,11861,11220,11801.17,987817017.3
7/31/20,11099.61,11444,10960,11335.46,786344325.9
7/30/20,11100.53,11170,10831,11099.61,669779541.9
7/29/20,10906.27,11342.82,10812,11100.53,853242253.6
7/28/20,11029.96,11242.23,10565,10906.27,1065375500
7/27/20,9931.54,11394.86,9917.21,11029.96,1580355372
7/26/20,9700.42,10111,9650,9931.54,644607634.5
7/25/20,9537.8,9732.9,9513,9700.42,391431695.7
7/24/20,9603.27,9637,9463.44,9537.8,419240263.5
7/23/20,9518.16,9664,9440.33,9603.27,494282948.7
7/22/20,9390,9544,9261,9518.16,457776105.6
7/21/20,9160.78,9437.73,9152.8,9390,563360524.8
7/20/20,9208.99,9221.52,9131,9160.78,325297289.3
7/19/20,9170.28,9232.27,9101.35,9208.99,238521988
7/18/20,9154.32,9219.3,9121.1,9170.28,206628105.4
7/17/20,9133.72,9186.83,9089.81,9154.32,256360345.6
7/16/20,9197.6,9226.15,9047.25,9133.72,395883667
7/15/20,9255.85,9276.49,9160.57,9197.6,360201683.5
7/14/20,9242.62,9279.54,9113,9255.85,421789086.5
7/13/20,9302.75,9343.82,9200.89,9242.62,396614086.8
7/12/20,9234.03,9345,9157.5,9302.75,285591381.5
7/11/20,9288.34,9299.28,9178.25,9234.03,208410250.5
7/10/20,9232.43,9317.48,9125,9288.34,352238898.8
7/9/20,9436.06,9440.79,9160,9232.43,447640493.5
7/8/20,9257.39,9470,9231,9436.06,525344876.7
7/7/20,9344.2,9379.42,9203,9257.39,320576525.4
7/6/20,9069.41,9375,9055.92,9344.2,502548376.2
7/5/20,9135.46,9145.24,8893.03,9069.41,308410443.7
7/4/20,9058.26,9190,9040.04,9135.46,240576054.9
7/3/20,9086.54,9125,9037.47,9058.26,263123750.5
7/2/20,9232,9261.96,8940,9086.54,417724468.9
7/1/20,9138.55,9292,9080.1,9232,354087627.2
6/30/20,9192.56,9205,9064.89,9138.55,287781334.5
6/29/20,9116.35,9238,9024.67,9192.56,384206326.5
6/28/20,9012,9191,8948.06,9116.35,278721674.9
6/27/20,9162.21,9196.24,8833,9012,419606802.2
6/26/20,9249.49,9298,9045.45,9162.21,461347064.8
6/25/20,9296.49,9340,9009.69,9249.49,514396747.4
6/24/20,9624.89,9670,9208,9296.49,579426702.8
6/23/20,9685.69,9720,9577.03,9624.89,395487616.5
6/22/20,9294.69,9780,9277.09,9685.69,550995799.1
6/21/20,9358.95,9422,9281.54,9294.69,227467940.6
6/20/20,9310.23,9395,9170.95,9358.95,282120192.7
6/19/20,9386.32,9438.3,9215.79,9310.23,423086965.2
6/18/20,9465.14,9489,9280,9386.32,351649555.1
6/17/20,9525.59,9565,9236.61,9465.14,453209812.2
6/16/20,9426.02,9589,9373.09,9525.59,494458269.1
6/15/20,9342.1,9495,8910.45,9426.02,793518842.6
6/14/20,9473.34,9480.99,9245,9342.1,282131272.4
6/13/20,9465.13,9494.73,9351,9473.34,261673162.3
6/12/20,9280.4,9557.12,9232.51,9465.13,472007894.4
6/11/20,9885,9964,9113,9280.4,902075648.6
6/10/20,9772.43,9992.72,9704.18,9885,462384305.4
6/9/20,9782.01,9877,9570,9772.43,447208895.8
6/8/20,9746.99,9800,9633,9782.01,395459395.8
