<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2020.11.19,14:09:00,1821000,1821000,1820000,1820000,4
2020.11.19,14:10:00,1820000,1820000,1820000,1820000,4
2020.11.19,14:15:00,1825000,1825000,1825000,1825000,1
2020.11.19,14:16:00,1830000,1830000,1830000,1830000,1
2020.11.19,14:32:00,1824000,1824000,1824000,1824000,1
2020.11.19,14:44:00,1829000,1829000,1829000,1829000,2
2020.11.19,14:57:00,1829000,1829000,1829000,1829000,9
2020.11.21,10:36:00,1812000,1812000,1812000,1812000,1
