<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Zaferan.9908-44,20200114,88869.00,89500.00,88000.00,88662.00,15168836424,171087,387,D,88114.00,88700.00
Zaferan.9908-44,20200113,88749.00,88749.00,87250.00,88114.00,5472785246,62110,202,D,87304.00,88300.00
Zaferan.9908-44,20200112,88499.00,88719.00,86800.00,87304.00,8508950563,97464,229,D,88235.00,87000.00
Zaferan.9908-44,20200111,85111.00,88999.00,85111.00,88235.00,8327600187,94380,202,D,88888.00,88500.00
Zaferan.9908-44,20200108,88210.00,90807.00,88053.00,88888.00,10356016466,116507,212,D,88205.00,88300.00
Zaferan.9908-44,20200107,87001.00,89999.00,87001.00,88205.00,13586237410,154031,250,D,86511.00,89999.00
Zaferan.9908-44,20200105,88979.00,88979.00,86000.00,86511.00,21301917954,246235,416,D,87168.00,87500.00
Zaferan.9908-44,20200104,90002.00,90500.00,85500.00,87168.00,12293781245,141035,237,D,87856.00,86005.00
Zaferan.9908-44,20200101,87677.00,88501.00,86812.00,87856.00,7655329037,87135,152,D,85421.00,87610.00
Zaferan.9908-44,20191231,86897.00,87794.00,84501.00,85421.00,10301391089,120596,216,D,85446.00,87794.00
Zaferan.9908-44,20191230,85700.00,86000.00,85000.00,85446.00,10166391807,118981,247,D,86004.00,85600.00
Zaferan.9908-44,20191229,84500.00,86999.00,84500.00,86004.00,13620787470,158374,338,D,85448.00,85610.00
Zaferan.9908-44,20191228,86000.00,86100.00,85000.00,85448.00,16575126720,193978,340,D,86909.00,85000.00
Zaferan.9908-44,20191225,84039.00,88486.00,84037.00,86909.00,18472336401,212547,456,D,85482.00,86430.00
Zaferan.9908-44,20191224,86707.00,86707.00,84000.00,85482.00,14744505706,172486,409,D,88049.00,85238.00
Zaferan.9908-44,20191223,88600.00,90497.00,87028.00,88049.00,10166931557,115469,258,D,91608.00,87028.00
Zaferan.9908-44,20191222,92000.00,92999.00,89300.00,91608.00,5764891136,62930,149,D,93198.00,89300.00
Zaferan.9908-44,20191221,94704.00,94704.00,92850.00,93198.00,9587535604,102873,162,D,92661.00,92850.00
Zaferan.9908-44,20191218,91641.00,93543.00,91200.00,92661.00,17589870399,189831,238,D,90196.00,93197.00
Zaferan.9908-44,20191217,89019.00,91635.00,89019.00,90196.00,18184546149,201612,274,D,89807.00,90303.00
Zaferan.9908-44,20191216,89900.00,90150.00,89250.00,89807.00,16790142030,186959,292,D,89631.00,89700.00
Zaferan.9908-44,20191215,89500.00,90600.00,89000.00,89631.00,4752414541,53022,156,D,90944.00,90000.00
Zaferan.9908-44,20191214,89500.00,91800.00,89500.00,90944.00,11285659011,124095,243,D,90261.00,90400.00
Zaferan.9908-44,20191211,90003.00,92499.00,88712.00,90261.00,16217230551,179670,336,D,91946.00,90102.00
Zaferan.9908-44,20191210,93000.00,93500.00,90387.00,91946.00,34331576971,373387,712,D,92914.00,90403.00
Zaferan.9908-44,20191209,93000.00,93993.00,92405.00,92914.00,16674661521,179464,238,D,93051.00,92800.00
Zaferan.9908-44,20191208,92000.00,93997.00,91803.00,93051.00,16303170022,175207,289,D,91792.00,93200.00
Zaferan.9908-44,20191207,91700.00,92700.00,90021.00,91792.00,24755133994,269687,371,D,90413.00,92500.00
Zaferan.9908-44,20191204,89700.00,91560.00,89254.00,90413.00,43120994444,476935,624,D,88861.00,90800.00
Zaferan.9908-44,20191203,88000.00,89608.00,87400.00,88861.00,30478062455,342987,558,D,88112.00,89401.00
Zaferan.9908-44,20191202,87112.00,88694.00,86303.00,88112.00,18367897112,208461,389,D,87763.00,87800.00
Zaferan.9908-44,20191201,89000.00,89300.00,86410.00,87763.00,20334666921,231701,427,D,90162.00,87110.00
Zaferan.9908-44,20191130,92000.00,92500.00,89211.00,90162.00,6543935883,72580,187,D,89807.00,89500.00
Zaferan.9908-44,20191127,91997.00,91997.00,89000.00,89807.00,9786359995,108971,304,D,92525.00,89101.00
Zaferan.9908-44,20191126,94000.00,94300.00,90910.00,92525.00,14594137994,157732,323,D,94601.00,90910.00
Zaferan.9908-44,20191125,96000.00,96000.00,93500.00,94601.00,33447935277,353568,375,D,94239.00,93512.00
Zaferan.9908-44,20191124,94500.00,95699.00,93500.00,94239.00,20654743871,219174,394,D,94536.00,95500.00
Zaferan.9908-44,20191123,94000.00,95500.00,90500.00,94536.00,16685206358,176495,267,D,94826.00,91500.00
Zaferan.9908-44,20191120,96400.00,96400.00,92900.00,94826.00,3007982750,31721,93,D,93198.00,94500.00
Zaferan.9908-44,20191119,96999.00,96999.00,92985.00,93198.00,38645741578,414663,468,D,95873.00,93111.00
Zaferan.9908-44,20191118,100500.00,100500.00,95525.00,95873.00,30237793660,315393,360,D,100628.00,95525.00
Zaferan.9908-44,20191117,100001.00,104000.00,97100.00,100628.00,10177939872,101144,452,D,100685.00,99003.00
Zaferan.9908-44,20191116,97400.00,102360.00,95400.00,100685.00,23651258231,234903,318,D,98137.00,102360.00
Zaferan.9908-44,20191113,96747.00,98239.00,94100.00,98137.00,4168770553,42479,29,D,93045.00,98239.00
Zaferan.9908-44,20191112,92500.00,95650.00,92300.00,93045.00,432846720,4652,33,D,89905.00,93870.00
Zaferan.9908-44,20191111,89000.00,93400.00,87000.00,89905.00,8454297449,94036,151,D,90560.00,92402.00
Zaferan.9908-44,20191110,91800.00,92000.00,89500.00,90560.00,31243200,345,5,D,90852.00,92000.00
Zaferan.9908-44,20191109,92000.00,92000.00,90000.00,90852.00,69956080,770,13,D,91265.00,90000.00
Zaferan.9908-44,20191105,91500.00,91500.00,90900.00,91265.00,15515000,170,4,D,92188.00,90900.00
Zaferan.9908-44,20191104,93000.00,94000.00,90000.00,92188.00,78359715,850,16,D,89637.00,92000.00
Zaferan.9908-44,20191103,90421.00,90421.00,88500.00,89637.00,228574275,2550,30,D,86107.00,89000.00
