<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2018.03.05,97354.34,97401.16,97199.09,97199.09,2590
2018.03.06,97182.65,97217.59,96991.02,96991.02,637
2018.03.07,96991.02,96997.6,96860.31,96860.31,2590
2018.03.10,96860.33,96889.57,96594.53,96594.53,2596
2018.03.11,96594.52,96607.52,96028.59,96028.59,2604
2018.03.12,96028.48,96240.6,96028.48,96194.16,2590
2018.03.13,96194.47,96314.17,96194.47,96314.17,2602
2018.03.14,96314.17,96463.51,95525.9,95525.9,2601
2018.03.17,95525.91,95688.53,95525.91,95577.42,2603
2018.03.18,95577.34,95819.64,95577.34,95819.64,2606
2018.03.19,95819.63,96336.98,95819.63,96289.97,2603
2018.03.25,96289.99,96426.99,96289.99,96422.99,2576
2018.03.26,96425.91,96611.83,96420.31,96489.72,2604
2018.03.27,96489.72,96623.11,96489.72,96596.58,2600
2018.03.28,96596.65,96951.45,96596.65,96938.56,2605
2018.04.03,96938.88,97162.24,96938.88,97086.17,2603
2018.04.04,97086.17,97150.6,97086.17,97150.6,2600
2018.04.07,97150.58,97186.62,96779.87,96779.87,2593
2018.04.08,96779.87,96779.87,96340.96,96340.96,2594
2018.04.09,96341.27,97135.37,96341.27,97120.67,2591
2018.04.10,97120.77,97164.5,96747.99,96747.99,2597
2018.04.11,96748.01,96799.22,96265.37,96287.03,2601
2018.04.15,96287.05,96305.05,95987.61,95987.61,2599
2018.04.16,95987.56,96000.42,95506.31,95506.31,2595
2018.04.17,95580.93,95589.24,95530.05,95532.41,1902
2018.04.18,95522.73,95627.95,95518.23,95518.23,2579
2018.04.21,95523.89,95565.88,95265.91,95265.91,2600
2018.04.22,95265.87,95270.91,94494.29,94494.29,2597
2018.04.23,94494.27,94512.68,94299.51,94299.51,2596
2018.04.24,94299.53,94629.01,94299.53,94576.18,2587
2018.04.25,94576.36,94883.9,94576.36,94796.14,2596
2018.04.28,94796.14,94804.57,94284.5,94284.5,2593
2018.04.29,94284.49,94298.74,93810.68,93810.68,2598
2018.04.30,93805.58,93861.58,93586.9,93586.9,2592
2018.05.01,93586.93,93630.8,93586.11,93612.03,2600
2018.05.05,93612.14,93642.22,93100.66,93100.66,2597
2018.05.06,93100.67,93100.96,92849.89,92849.89,2598
2018.05.07,92849.93,93165.86,92849.93,93165.86,2583
2018.05.08,93165.92,93605.85,93165.92,93605.85,2588
2018.05.09,93605.87,93833.87,93605.87,93691.85,2589
2018.05.12,93691.16,93933.96,93684.27,93891.1,2602
2018.05.13,93891.12,94182.74,93891.12,94165.57,2581
2018.05.14,94165.83,94704.43,94165.83,94703.46,2597
2018.05.15,94703.45,94941.99,94703.45,94905.95,2602
2018.05.16,94905.92,94982.92,94903.92,94940.18,2587
2018.05.19,94940.24,95173.78,94940.24,95103.09,2579
2018.05.20,95103.12,95235.2,95103.12,95136.39,2575
2018.05.21,95136.46,95260.24,95133.7,95227.53,2580
2018.05.22,95227.47,95282.82,95219,95229.82,2586
2018.05.23,95229.93,95510.99,95229.93,95445.06,2583
2018.05.26,95445.06,95929.96,95445.06,95793.99,2562
2018.05.27,95794.01,95887.25,95625.76,95625.76,2585
2018.05.28,95626.01,95654.85,95529.6,95529.6,2442
2018.05.29,95529.61,95647.44,95409.6,95409.6,2590
2018.05.30,95409.62,95665.17,95409.62,95577.36,2574
2018.06.02,95577.68,96026.57,95577.68,95951.86,2580
