Symbol,Lot Size,Exchange,Currency,Expiry_1,Expiry_2,Expiry_3,Expiry_4,Expiry_5,Expiry_6,Expiry_7,Expiry_8,Expiry_9,Expiry_10
NIFTY50,75,NSE,INR,20200730,20200827,20200924,20201029,20201126,20201231,20210128,20210225,20210325,
BANKNIFTY,25,NSE,INR,20200730,20200827,20200924,20201029,20201126,20201231,20210128,20210225,20210325,
