date,open,high,low,close,volume,open_interest,contract,undajusted_close
1982-05-03,24.77095913,24.803396,24.66283622,24.67364851,17700,19478,198206,71.3125
1982-05-04,24.63039934,24.88989433,24.59796247,24.84664517,11421,22160,198206,71.8125
1982-05-05,24.92233121,24.99801725,24.83583288,24.88989433,14083,25247,198206,71.9375
1982-05-06,25.09532787,25.25751223,25.06289099,25.24669994,9400,23141,198206,72.96875
1982-05-07,25.34401056,25.36563515,25.20345078,25.34401056,6526,22605,198206,73.25
1982-05-10,25.27913682,25.37644744,25.24669994,25.3007614,4233,22452,198206,73.125
1982-05-11,25.22507536,25.38725973,25.20345078,25.34401056,5339,21443,198206,73.25
1982-05-12,25.33319827,25.45213348,25.13857703,25.34401056,6310,21231,198206,73.25
1982-05-13,25.22507536,25.22507536,25.10614016,25.12776474,3976,20726,198206,72.625
1982-05-14,25.20345078,25.39807202,25.1710139,25.3007614,4664,19946,198206,73.125
1982-05-17,25.33319827,25.39807202,25.11695245,25.13857703,5243,20029,198206,72.65625
1982-05-18,25.07370328,25.24669994,25.01964183,25.21426307,5408,19403,198206,72.875
1982-05-19,25.12776474,25.20345078,25.07370328,25.07370328,4599,19270,198206,72.46875
1982-05-20,25.1710139,25.33319827,25.1710139,25.28994911,5633,18914,198206,73.09375
1982-05-21,25.26832453,25.35482285,25.24669994,25.25751223,3006,18235,198206,73
1982-05-24,25.21426307,25.28994911,25.1818262,25.24669994,1918,18270,198206,72.96875
1982-05-25,25.1710139,25.21426307,25.10614016,25.16020161,2490,17898,198206,72.71875
1982-05-26,25.25751223,25.28994911,25.04126641,25.04126641,3498,17823,198206,72.375
1982-05-27,25.01964183,25.09532787,24.99801725,24.99801725,3730,17264,198206,72.25
1982-05-28,24.99801725,25.08451558,24.96558037,24.99801725,3559,17641,198206,72.25
1982-06-01,24.9331435,24.94395579,24.69527309,24.71689767,3532,18074,198206,71.4375
1982-06-02,24.77095913,24.82502059,24.71689767,24.803396,2622,18563,198206,71.6875
1982-06-03,24.81428394,24.89010235,24.70597192,24.77095913,2570,18967,198209,71.46875
1982-06-04,24.73846552,24.73846552,24.6193223,24.65181591,2491,19523,198209,71.125
1982-06-07,24.70597192,24.76012793,24.5868287,24.70597192,3119,19788,198209,71.28125
1982-06-08,24.68430951,24.71680312,24.64098471,24.67347831,2829,19495,198209,71.1875
1982-06-09,24.65181591,24.69514072,24.57599749,24.68430951,2549,19083,198209,71.21875
1982-06-10,24.6301535,24.65181591,24.55433509,24.6084911,3592,19402,198209,71
1982-06-11,24.74929673,24.78179033,24.71680312,24.77095913,2180,18931,198209,71.46875
1982-06-14,24.55433509,24.57599749,24.35937345,24.39186706,3519,17012,198209,70.375
1982-06-15,24.33771105,24.41352946,24.32687985,24.39186706,2489,17515,198209,70.375
1982-06-16,24.39186706,24.41352946,24.29438624,24.31604864,2714,17845,198209,70.15625
1982-06-17,24.15358061,24.18607422,24.01277499,24.1102558,3412,17169,198209,69.5625
1982-06-18,24.0885934,24.13191821,23.85030695,23.85030695,5742,17869,198209,68.8125
1982-06-21,23.87196936,23.88280056,23.70950133,23.80698215,5555,16763,198209,68.6875
1982-06-22,23.80698215,23.94778777,23.77448854,23.80698215,5122,13516,198209,68.6875
1982-06-23,23.67700772,23.75282614,23.5795269,23.73116373,5199,12807,198209,68.46875
1982-06-24,23.76365734,23.88280056,23.64451412,23.73116373,5186,12938,198209,68.46875
1982-06-25,23.74199493,23.79615094,23.65534532,23.69867013,2072,12996,198209,68.375
