USDNOK;USDNOK;Forex;Crosses;04.08.2003;04.08.2003;5;12000;120;0.0001;0.00001;3
USDPLN;USDPLN;Forex;Crosses;14.03.2007;14.03.2007;5;27000;35;0.0001;0.00001;3
USDRON;USDRON;Forex;Crosses;18.12.2016;18.12.2016;5;25000;55;0.0001;0.00001;3
USDRUB;USDRUB;Forex;Crosses;14.03.2007;14.03.2007;3;1600;600;0.01;0.001;3
USDSEK;USDSEK;Forex;Crosses;04.08.2003;04.08.2003;5;11200;60;0.0001;0.00001;3
USDSGD;USDSGD;Forex;Crosses;17.11.2004;17.11.2004;5;73000;10;0.0001;0.00001;3
USDTHB;USDTHB;Forex;Crosses;13.02.2017;13.02.2017;5;3000;30;0.0001;0.00001;3
USDTRY;USDTRY;Forex;Crosses;14.03.2007;14.03.2007;5;21000;90;0.0001;0.00001;3
USDZAR;USDZAR;Forex;Crosses;02.02.2002;02.02.2002;5;7300;120;0.0001;0.00001;3
ZARJPY;ZARJPY;Forex;Crosses;04.06.2007;04.06.2007;3;900;4;0.01;0.001;3
CHFPLN;CHFPLN;Forex;Crosses;15.03.2007;15.03.2007;5;27000;5;0.0001;0.00001;3

XAGUSD;XAGUSD;Forex;Metals;08.08.2003;08.08.2003;3;5000;60;0.01;0.001;3
XAUUSD;XAUUSD;Forex;Metals;05.05.2003;05.05.2003;3;100;60;0.01;0.01;3

BRENTCMDUSD;US Brent Crude Oil;Commodities;Energy;01.01.2013;30.09.2010;3;100;10;0.01;0.01;4
LIGHTCMDUSD;WTI Light Crude Oil;Commodities;Energy;01.01.2013;01.01.2013;3;100;7;0.01;0.01;4
GASCMDUSD;Natural Gas;Commodities;Energy;02.09.2012;02.09.2012;4;0.1;100;0.0001;0.0001;4
DIESELCMDUSD;Low Suplhur Gasoil;Commodities;Energy;22.10.2017;22.10.2017;3;0.01;220;0.01;0.001;4
COPPERCMDUSD;High Grade Copper;Commodities;Energy;01.03.2012;01.03.2012;4;0.01;7;0.0001;0.0001;4

USA30IDXUSD;USA 30 Index;Indices;America;19.09.2011;30.09.2013;3;5;4;1;0.1;6
USATECHIDXUSD;USA 100 Technical Index;Indices;America;19.09.2011;30.09.2011;3;20;4;1;0.1;6
USA500IDXUSD;USA 500 Index;Indices;America;19.09.2011;30.09.2011;3;50;4;1;0.1;6
HKGIDXHKD;Hong Kong 40 Index;Indices;Asia/Pacific;19.09.2011;19.09.2011;3;5;5;1;1;6
JPNIDXJPY;JAPAN 225;Indices;Asia/Pacific;19.09.2011;19.09.2011;3;10;10;1;1;6
AUSIDXAUD;Australia 200 Index;Indices;Europe;26.02.2013;26.02.2013;3;25;4;1;1;6
DEUIDXEUR;Germany 30 Index;Indices;Europe;19.09.2011;30.09.2013;3;27;3;1;0.1;6
FRAIDXEUR;France 40 Index;Indices;Europe;19.09.2011;19.09.2011;3;12;3;1;0.1;6
EUSIDXEUR;Europe 50 Index;Indices;Europe;19.09.2011;19.09.2011;3;12;3;1;0.1;6
