Block;OppositeBlock
HighestIndex;HighestIndex
Ichimoku;Ichimoku
IchimokuKijunSenCrossBearish;IchimokuKijunSenCrossBullish
IchimokuKijunSenCrossBullish;IchimokuKijunSenCrossBearish
IchimokuKumoBreakoutBearish;IchimokuKumoBreakoutBullish
IchimokuKumoBreakoutBullish;IchimokuKumoBreakoutBearish
IchimokuSenkouSpanCrossBearish;IchimokuSenkouSpanCrossBullish
IchimokuSenkouSpanCrossBullish;IchimokuSenkouSpanCrossBearish
IchimokuTenkanKijunCrossBearish;IchimokuTenkanKijunCrossBullish
IchimokuTenkanKijunCrossBullish;IchimokuTenkanKijunCrossBearish
IndicatorHighest;IndicatorHighest
IndicatorLowest;IndicatorLowest
IntVariable;IntVariable
IsBarOpen;IsBarOpen
IsFalling;IsRising
IsGreater;IsLower
IsGreaterOrEqual;IsLowerOrEqual
IsLower;IsGreater
IsLowerOrEqual;IsGreaterOrEqual
IsRising;IsFalling
KCBarClosesAboveLower;KCBarClosesBelowUpper
KCBarClosesAboveUpper;KCBarClosesBelowLower
KCBarClosesBelowLower;KCBarClosesAboveUpper
KCBarClosesBelowUpper;KCBarClosesAboveLower
KCBarOpensAboveLower;KCBarOpensBelowUpper
KCBarOpensAboveLowerAfterOpenBelow;KCBarOpensBelowUpperAfterOpenAbove
KCBarOpensAboveUpper;KCBarOpensBelowLower
KCBarOpensAboveUpperAfterOpenBelow;KCBarOpensBelowLowerAfterOpenAbove
KCBarOpensBelowLower;KCBarOpensAboveUpper
KCBarOpensBelowLowerAfterOpenAbove;KCBarOpensAboveUpper
KCBarOpensBelowUpper;KCBarOpensAboveLower
KCBarOpensBelowUpperAfterOpenAbove;KCBarOpensAboveLowerAfterOpenBelow
KCLowerFalling;KCUpperRising
KCLowerRising;KCUpperFalling
KCUpperFalling;KCLowerRising
KCUpperRising;KCLowerFalling
KeltnerChannel;KeltnerChannel
LWMA;LWMA
LastOrderWas;LastOrderWas
LastOrderWasNot;LastOrderWasNot
LinRegBarClosesAbove;LinRegBarClosesBelow
LinRegBarClosesBelow;LinRegBarClosesAbove
LinRegBarOpensAbove;LinRegBarOpensBelow
LinRegBarOpensAboveAfterOpenBelow;LinRegBarOpensBelowAfterOpenAbove
LinRegBarOpensBelow;LinRegBarOpensAbove
LinRegBarOpensBelowAfterOpenAbove;LinRegBarOpensAboveAfterOpenBelow
LinRegFalling;LinRegRising
LinRegRising;LinRegFalling
LinearRegression;LinearRegression
LogToFile;LogToFile
LogToJournal;LogToJournal
Logarithm;Logarithm
Low;High
LowD;HighD
Lowest;Highest
LowestInRange;LowestInRange
LowestIndex;LowestIndex
MABarClosesAbove;MABarClosesBelow
MABarClosesBelow;MABarClosesAbove
MABarOpensAbove;MABarOpensBelow
MABarOpensAboveAfterOpenBelow;MABarOpensBelowAfterOpenAbove
MABarOpensBelow;MABarOpensAbove
MABarOpensBelowAfterOpenAbove;MABarOpensAboveAfterOpenBelow
MACD;MACD
MACDMainChangesDown;MACDMainChangesUp
MACDMainChangesUp;MACDMainChangesDown
MACDMainCrossAbove;MACDMainCrossBelow
MACDMainCrossAboveSignal;MACDMainCrossBelowSignal
MACDMainCrossAboveZero;MACDMainCrossBelowZero
MACDMainCrossBelow;MACDMainCrossAbove
MACDMainCrossBelowSignal;MACDMainCrossAboveSignal
MACDMainCrossBelowZero;MACDMainCrossAboveZero
MACDMainFalling;MACDMainRising
MACDMainHigher;MACDMainLower
MACDMainHigherSignal;MACDMainLowerSignal
MACDMainHigherZero;MACDMainLowerZero
MACDMainLower;MACDMainHigher
MACDMainLowerSignal;MACDMainHigherSignal
MACDMainLowerZero;MACDMainHigherZero
MACDMainRising;MACDMainFalling
MACDSignalFalling;MACDSignalRising
MACDSignalRising;MACDSignalFalling
MAFalling;MARising
MARising;MAFalling
MTATR;MTATR
MTKeltnerChannel;MTKeltnerChannel
MarketPosition;MarketPosition
MarketPositionIsFlat;MarketPositionIsFlat
